"","","","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","FINANCIAL SUBSCALE (RISK TAKING)","ETHICAL SUBSCALE (RISK TAKING)","HEALTH/SAFETY SUBSCALE (RISK TAKING)","RECREATIONAL SUBSCALE (RISK TAKING)","SOCIAL SUBSCALE(RISK TAKING)","RISK TAKING OVERALL SCALE SCORE","ETHICAL SUBSCALE (RISK PERCEPTION)","FINANCIAL SUBSCALE (RISK PERCEPTION)","HEALTH/SAFETY SUBSCALE (RISK PERCEPTION)","RECREATIONAL SUBSCALE(RISK PERCEPTION)","SOCIAL SUBSCALE (RISK PERCEPTION)","OVERALL SCALE TOTAL SCORE RISK PERCEPTION","ETHICAL SUBSCALE (EXPECTED BENEFITS)","FINANCIAL SUBSCALE (EXPECTED BENEFITS)","HEALTH/SAFETY SUBSCALE (EXPECTED BENEFITS)","RECREATIONAL SUBSCALE (EXPECTED BENEFITS)","SOCIAL SUBSCALE (EXPECTED BENEFITS)","OVERALL SCALE TOTAL (EXPECTED BENEFITS)"
"A00033849","Adult- Age 22-59","V2","7","7","1","5","1","5","6","1","1","1","1","4","1","1","1","5","1","5","1","1","4","6","1","2","1","1","5","7","2","1","1","2","7","3","7","2","2","7","7","7","7","6","7","7","7","3","7","6","7","7","6","2","7","5","7","7","2","1","6","6","1","7","1","4","1","4","4","1","1","1","1","4","1","1","1","4","1","4","1","1","4","4","1","4","1","1","4","4","1","1","17","15","6","13","35","86","31","36","42","35","14","158","12","15","6","15","21","69"
"A00040890","Adult- Age 22-59","V2","6","6","1","4","5","1","5","1","3","3","1","1","7","1","6","6","6","1","7","3","6","4","6","6","2","2","5","4","2","3","2","3","7","7","2","6","4","7","4","5","6","7","3","7","5","4","5","7","3","5","4","5","5","5","6","7","4","3","5","3","4","4","2","2","4","2","5","1","4","4","1","1","5","1","4","3","2","1","6","2","6","4","3","5","4","1","5","5","1","5","9","18","28","29","30","114","27","42","29","26","22","146","19","8","16","25","29","97"
"A00039393","Adult- Age 22-59","V2","7","7","1","1","5","3","3","1","5","1","1","1","1","1","5","3","2","1","1","1","4","5","5","1","1","4","1","7","5","4","1","1","7","5","5","5","4","7","6","5","7","6","6","7","6","5","5","7","7","6","6","5","4","7","7","5","1","3","4","1","1","7","1","1","1","3","2","1","4","2","1","1","1","1","2","1","1","1","1","1","4","2","1","1","1","1","1","4","1","2","6","21","22","12","27","88","26","39","31","35","20","151","13","6","7","12","14","52"
"A00053577","Adult- Age 22-59","V2","6","7","1","4","5","1","5","1","1","3","1","1","5","1","1","2","1","2","6","1","6","5","1","5","4","2","5","4","2","2","1","2","7","4","3","6","3","7","7","5","7","5","4","7","7","4","6","3","4","7","3","3","7","5","4","5","3","3","5","4","5","7","4","5","5","3","4","2","2","4","2","2","5","2","2","3","2","5","6","1","6","5","1","4","3","2","4","5","3","4","10","11","11","28","31","91","31","33","35","26","16","141","19","20","13","27","29","108"
"A00061001","ONE_DAY- Age 22-59","VA","7","1","1","1","7","5","5","1","4","1","1","1","1","1","7","1","6","1","1","7","7","6","7","5","1","5","7","7","1","1","1","4","6","5","5","5","2","7","6","2","6","6","6","6","6","5","6","7","7","5","1","1","3","5","7","5","1","1","6","5","7","1","1","1","4","6","6","1","4","4","1","","1","1","4","1","2","2","1","4","7","7","4","2","1","1","6","7","1","1","6","13","39","10","39","107","29","37","30","35","7","138","17","6!WithErrors!","19","7","40","83!WithErrors!"
"A00028177","Adult- Age 22-59","V2","6","7","1","1","5","1","4","1","1","1","2","1","5","1","7","2","2","1","7","3","7","5","7","7","7","5","5","5","1","3","1","2","7","5","5","5","5","7","5","5","6","5","6","6","6","5","6","5","6","7","6","4","5","6","6","7","2","5","7","2","6","6","1","2","3","2","4","2","2","1","2","2","5","2","3","1","1","4","5","1","5","5","3","5","5","2","4","4","1","4","6","9","29","35","32","111","29","35","36","32","23","155","11","13","13","28","28","93"
"A00076589","Adult- Age 22-59","V2","7","6","1","4","5","4","1","1","1","1","4","3","5","1","5","1","1","4","4","1","4","1","1","1","4","6","5","6","1","1","1","1","7","3","5","7","7","7","7","7","7","5","5","7","6","7","7","5","5","7","2","5","7","5","4","5","1","2","7","5","7","7","1","1","1","1","1","1","1","1","2","1","4","1","1","1","1","1","2","1","4","1","1","1","2","1","5","6","1","1","14","9","19","24","24","90","40","34","37","27","18","156","6","6","6","18","24","60"
"A00053455","ENROLLED","V2","6","1","1","2","1","1","3","1","1","1","1","1","1","1","1","1","1","2","3","1","2","1","1","1","1","1","3","5","1","1","2","3","6","1","5","5","5","5","5","5","7","5","5","4","6","5","3","5","4","5","5","6","5","3","4","5","1","3","5","1","5","4","2","6","1","3","2","2","2","4","1","4","2","3","2","2","1","4","6","1","6","2","1","2","4","1","4","4","2","2","8","6","6","8","20","48","26","26","29","26","22","129","15","21","7","19","23","85"
"A00066788","ENROLLED","VA_ALG","7","7","1","4","1","3","5","1","1","1","6","1","6","1","4","3","5","6","1","1","5","7","5","1","6","5","6","6","1","2","1","2","7","5","7","5","3","7","7","7","2","4","4","7","6","4","3","4","7","7","3","2","5","7","2","5","3","3","7","2","5","7","1","4","1","1","4","1","1","1","6","2","5","1","1","4","2","6","1","1","7","5","2","1","6","2","3","7","1","3","14","11","21","27","36","109","32","34","33","24","15","138","11","15","9","26","31","92"
"A00040536","Older Adult- Age 65-85","V2","5","4","1","6","1","1","6","1","1","1","1","1","1","1","1","1","7","5","2","7","7","5","5","1","1","1","1","1","1","1","5","7","7","5","7","7","5","7","7","7","7","5","7","7","7","7","7","7","7","7","6","6","7","7","7","7","4","4","7","4","4","3","1","4","1","4","4","1","1","1","1","4","1","1","1","1","1","4","1","1","4","4","1","1","1","1","2","4","1","7","15","6","22","10","25","78","39","38","42","42","30","191","15","15","6","8","22","66"
"A00032862","Adult- Age 22-59","V2","6","5","1","6","1","1","3","1","2","1","1","1","5","1","1","1","1","4","1","1","7","5","3","1","5","2","7","5","1","1","2","3","7","2","5","4","3","7","7","7","7","6","3","7","7","5","7","5","4","6","4","3","3","5","3","5","2","2","6","1","6","5","1","4","1","1","5","1","2","1","5","4","5","1","1","2","1","4","4","1","6","5","2","5","5","4","4","5","1","1","14","7","9","18","33","81","30","34","33","25","16","138","8","15","10","29","31","93"
"A00035054","Older Adult- Age 65-85","V2","3","3","1","3","1","2","3","1","1","1","1","1","2","1","1","1","1","1","2","1","2","3","5","2","5","3","3","3","2","6","4","4","7","6","7","3","5","6","7","6","7","7","6","7","7","6","7","6","6","6","6","4","4","6","4","4","4","5","5","4","4","4","2","2","1","3","3","1","1","2","1","2","3","2","1","2","1","1","2","2","2","3","3","2","3","2","2","2","2","2","8","13","12","15","17","65","31","39","35","33","28","166","12","10","10","15","16","63"
"A00037387","Adult-Age 18-21","V2","5","7","5","5","1","4","2","5","3","2","6","5","6","4","1","1","2","3","4","6","6","1","2","2","7","1","3","4","1","5","4","2","5","5","7","5","6","5","7","5","5","5","2","5","7","6","6","5","2","4","3","7","3","2","2","5","4","4","6","4","6","7","6","6","2","5","4","6","6","4","6","5","6","6","2","3","1","6","6","2","4","4","3","6","6","1","3","2","2","6","27","16","13","32","21","109","33","30","32","15","28","138","26","35","11","37","23","132"
"A00028352","Adult- Age 22-59","V2","5","2","1","2","1","1","2","1","1","1","1","1","1","1","2","1","1","5","2","1","5","3","1","1","1","2","5","5","3","2","1","5","6","4","5","5","4","6","6","6","6","5","5","5","7","5","4","5","5","5","3","4","2","5","5","4","4","4","3","3","1","3","3","3","1","2","3","1","2","3","3","2","3","2","4","3","2","5","3","2","6","3","2","1","2","2","5","4","2","2","11","9","8","8","25","61","28","31","27","31","20","137","14","16","13","15","22","80"
"A00051774","Adult- Age 22-59","V2","6","2","1","6","2","2","6","1","2","3","2","3","4","1","1","1","1","5","3","1","5","5","1","1","2","2","6","6","1","1","1","2","7","1","6","7","1","7","7","3","5","6","2","7","7","7","7","4","5","7","4","3","5","7","5","3","1","3","7","2","6","2","1","5","2","2","4","1","2","3","3","1","4","1","1","2","1","4","2","1","5","2","1","1","3","1","4","4","1","2","17","10","8","14","34","83","33","32","35","26","13","139","12","13","7","15","25","72"
"A00035072","ENROLLED","V2REP","7","7","1","4","7","3","3","1","4","1","1","4","4","1","1","3","5","1","6","3","7","5","5","5","1","1","5","7","1","2","1","2","7","4","2","6","6","7","5","6","7","4","5","7","7","5","5","4","3","5","4","5","4","4","4","5","3","1","5","2","4","5","5","5","3","5","3","4","4","2","3","4","4","4","1","3","2","4","5","1","7","5","3","4","4","2","4","7","2","4","12","14","22","24","34","106","29","33","28","25","20","135","20","26","12","25","30","113"
"A00056452","Adult- Age 22-59","V2","6","3","1","7","1","2","1","1","5","1","1","3","6","1","5","1","1","4","6","1","5","7","1","6","1","1","3","1","1","1","1","6","6","2","7","2","2","6","2","7","5","4","1","6","7","6","7","5","4","7","2","1","4","6","3","7","1","1","7","1","1","4","4","6","1","4","1","4","1","1","1","4","4","4","1","1","1","5","4","1","7","4","2","4","5","1","3","4","1","1","17","11","10","23","23","84","25","29","39","25","8","126","9","27","7","22","20","85"
"A00039257","Adult- Age 22-59","V2","7","3","1","5","1","1","5","1","1","1","1","5","1","5","1","1","2","4","2","1","5","3","6","1","1","5","5","5","1","5","1","4","2","2","6","6","1","6","6","6","6","5","5","2","6","6","5","5","5","6","2","3","3","5","6","5","4","4","7","1","5","3","2","2","1","1","4","2","1","1","1","2","1","2","2","1","1","2","2","1","7","5","1","1","1","2","5","6","1","1","21","10","16","9","30","86","32","22","31","31","15","131","6","12","8","9","32","67"
"A00044130","Adult- Age 22-59","V2","7","5","5","6","6","5","5","5","1","3","4","4","7","3","6","2","1","4","7","1","5","5","7","7","5","5","5","2","1","2","1","2","4","1","3","3","3","4","6","5","5","3","2","4","4","6","7","4","2","7","4","2","3","4","4","5","2","1","6","2","5","5","4","5","3","5","5","5","1","2","3","4","6","4","5","1","1","4","5","1","4","3","4","5","5","2","4","4","1","3","27","14","26","35","29","131","28","20","29","19","13","109","13","26","16","29","25","109"
"A00028691","Adult- Age 22-59","V2","7","1","1","7","4","7","7","1","2","2","1","1","2","1","5","2","2","1","1","3","7","6","1","1","2","1","1","7","1","7","1","5","7","2","7","2","7","7","4","5","7","7","5","7","5","6","5","6","7","6","2","7","3","6","4","7","6","1","6","2","1","1","1","4","1","4","1","1","1","2","1","1","4","1","1","1","3","2","3","2","7","1","2","1","4","1","1","7","2","4","12","21","16","8","35","92","25","36","33","34","24","152","14","10","10","14","18","66"
"A00040182","Older Adult- Age 65-85","V2","6","1","1","6","1","1","5","1","1","4","5","3","5","1","1","1","2","1","1","1","4","5","1","1","4","1","1","1","1","1","1","3","7","4","7","6","3","7","7","4","6","6","6","7","7","6","4","6","7","7","4","4","7","7","4","7","7","4","7","7","1","2","1","6","1","4","6","1","1","1","1","2","2","1","1","1","4","1","1","1","4","3","1","1","4","1","1","4","1","1","13","9","7","17","22","68","37","37","39","33","23","169","9","12","9","11","19","60"
"A00033011","Adult- Age 22-59","V2","5","5","1","7","1","4","4","1","1","1","1","5","5","1","1","2","1","3","1","1","3","6","2","1","1","1","3","3","2","1","2","4","4","2","4","3","3","5","7","5","7","3","3","6","7","5","5","6","5","7","3","3","3","4","6","6","2","3","3","3","2","4","4","4","3","4","4","4","2","4","1","4","4","4","2","2","1","4","1","1","4","3","2","1","1","2","2","3","3","2","18","11","7","14","24","74","26","26","32","29","16","129","17","24","11","12","18","82"
"A00055373","ENROLLED","V2","3","5","5","6","2","6","3","6","6","5","4","5","6","4","3","5","6","3","5","4","3","5","3","3","5","3","5","4","2","4","4","3","2","5","4","4","5","6","4","6","4","4","4","6","2","5","4","4","6","3","5","5","6","6","3","4","6","5","3","4","3","5","3","4","3","3","4","5","5","4","3","4","6","3","6","3","4","4","4","5","4","4","4","4","3","5","6","5","5","6","29","28","21","28","23","129","26","27","23","26","30","132","26","23","27","25","26","127"
"A00065743","ENROLLED","VA_ALG","7","3","1","7","1","7","3","1","1","1","5","2","2","1","1","1","1","1","1","1","6","5","1","1","1","1","7","6","1","1","1","5","7","2","3","2","3","7","3","3","3","5","6","7","6","2","3","3","5","6","4","3","4","5","5","5","2","3","6","1","1","6","1","7","1","2","4","1","1","4","6","3","2","1","1","1","1","2","2","1","7","3","1","2","2","1","4","6","1","1","13","12","6","13","34","78","17","31","27","29","16","120","10","15","6","20","25","76"
"A00055215","Adult- Age 22-59","V2","7","1","1","4","1","1","1","1","1","1","1","1","5","1","1","2","3","1","3","1","7","7","7","7","1","1","7","1","1","1","1","5","6","2","7","6","7","7","7","6","7","7","2","6","7","6","6","6","6","7","6","5","4","7","7","7","6","2","7","4","5","1","1","6","1","2","1","1","1","1","3","4","5","3","1","1","1","3","6","1","7","1","1","1","3","1","7","7","1","1","9","7","14","18","30","78","36","34","38","34","27","169","7","18","6","19","28","78"
"A00035440","Older Adult- Age 60-64","V2","5","3","1","4","3","3","5","1","2","1","1","3","3","1","1","1","1","1","4","1","6","6","6","4","5","5","3","4","3","1","1","2","7","6","6","5","3","7","6","6","3","4","4","7","7","4","7","6","3","6","1","1","3","3","3","4","2","2","6","3","1","4","1","4","1","4","1","1","1","1","4","4","4","1","1","1","1","4","4","1","7","4","1","4","4","1","4","4","1","4","11","11","17","20","29","88","30","37","33","18","10","128","12","15","6","24","21","78"
"A00064061","ONE_DAY-Age 65-85","VA","7","5","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","5","1","1","1","4","1","2","1","1","2","7","2","7","6","6","7","7","5","7","7","7","7","7","2","6","2","7","7","3","4","2","7","7","7","2","4","2","1","2","3","1","5","1","3","1","1","1","1","1","1","1","1","1","1","1","5","1","1","6","3","1","1","1","1","5","6","1","4","10","7","10","10","19","56","23","32","36","37","20","148","11","14","6","8","23","62"
"A00062917","ONE_DAY- Age 22-59","VA","6","5","1","1","5","1","7","1","5","1","1","1","5","1","5","2","1","1","7","1","6","7","1","1","7","5","6","6","2","2","2","4","7","5","6","7","2","7","7","7","7","7","7","6","7","5","7","6","5","7","5","6","5","7","5","6","3","5","7","6","4","5","2","4","1","2","6","3","1","1","2","1","4","4","1","1","1","4","5","1","7","7","1","1","7","2","5","6","2","2","6","13","18","26","38","101","39","38","38","35","23","173","9","18","7","24","35","93"
"A00057035","ENROLLED","V2","5","2","1","2","6","2","4","1","1","2","3","4","4","1","3","2","1","2","5","3","6","3","6","5","7","4","5","4","2","3","1","3","6","3","2","5","5","6","7","6","5","3","3","5","4","6","7","3","1","7","5","5","3","2","1","5","1","2","6","2","2","2","1","3","5","4","2","2","2","3","1","3","4","3","2","1","1","4","6","1","7","2","1","5","6","2","4","4","2","5","11","12","23","26","27","99","32","26","28","15","19","120","17","16","12","24","21","90"
"A00028613","Older Adult- Age 60-64","V2","4","1","1","5","2","5","5","1","1","1","1","1","1","1","4","1","1","2","1","1","6","5","2","1","1","1","5","6","1","1","2","2","7","2","6","2","3","7","7","7","6","6","7","6","5","6","5","3","2","4","2","3","3","3","4","6","3","1","6","1","4","3","2","5","1","4","4","2","1","1","1","3","1","2","1","1","1","4","1","1","6","4","2","1","1","1","2","4","2","1","11","10","11","6","31","69","29","31","29","24","14","127","10","18","7","8","24","67"
"A00031145","Adult-Age 18-21","V2","3","5","5","5","5","5","5","5","5","6","3","1","4","5","6","6","7","4","5","7","7","6","7","1","4","5","7","4","5","7","2","3","5","7","6","5","6","7","6","6","6","5","4","6","7","3","5","7","5","7","4","2","4","5","5","6","2","5","7","1","4","4","5","3","7","4","5","6","6","6","3","5","1","4","5","4","4","3","4","5","5","4","3","2","3","4","6","4","4","7","25","34","37","22","32","150","28","37","35","28","21","149","31","26","28","17","28","130"
"A00044410","Older Adult- Age 65-85","V2","6","3","1","7","1","1","6","1","4","1","1","1","1","1","1","1","2","3","1","1","6","6","2","1","1","1","3","5","1","1","2","1","7","2","6","5","3","6","6","7","7","7","7","5","6","4","4","5","3","6","4","2","3","4","4","6","4","4","7","4","1","5","1","6","1","1","4","1","1","1","1","1","1","1","1","1","1","3","4","1","7","4","1","1","4","1","2","6","1","1","14","9","8","8","32","71","33","32","31","26","19","141","6","13","6","16","24","65"
"A00039074","Adult- Age 22-59","V2","5","1","1","5","3","5","2","1","2","3","1","5","6","1","5","2","1","5","1","1","3","1","1","1","1","1","1","4","2","5","2","6","7","4","4","3","6","7","7","6","7","5","5","7","7","5","7","5","7","7","5","4","6","7","7","7","7","5","6","2","4","1","2","5","2","5","1","2","1","2","1","5","5","1","1","2","1","4","1","1","5","3","1","1","1","1","1","4","1","2","18","19","12","11","16","76","29","35","38","39","29","170","13","19","7","10","18","67"
"A00028185","ENROLLED","V2REP","7","5","1","6","6","4","3","1","5","2","3","5","4","1","4","2","7","2","1","1","5","3","1","2","1","1","2","6","1","3","1","2","7","2","2","5","6","7","5","4","6","3","5","7","6","6","4","5","6","7","4","5","7","6","7","6","3","3","7","4","4","3","1","5","5","3","1","1","4","3","2","4","2","1","4","2","4","4","2","1","5","3","1","2","1","1","4","3","1","3","16","17","20","16","26","95","31","31","32","32","22","148","16","16","16","12","20","80"
"A00043617","Adult- Age 22-59","V2","7","3","2","7","1","2","7","1","2","7","1","3","6","2","1","3","2","7","1","2","7","7","6","4","5","5","6","7","1","1","1","3","7","2","7","7","1","7","7","7","7","5","3","5","7","6","6","2","7","6","2","2","3","6","6","5","2","1","7","3","4","5","1","6","1","1","7","1","1","1","2","6","7","1","1","1","1","7","4","1","7","7","1","2","6","1","6","7","1","1","22","16","17","20","41","116","37","28","34","32","9","140","6","22","6","26","38","98"
"A00055446","ENROLLED","V2","5","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","2","2","2","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6","7","6","9","12","40","42","42","42","37","37","200","6","6","6","6","10","34"
"A00029303","Adult-Age 18-21","V2","4","2","1","3","1","4","4","1","1","1","1","2","3","2","2","1","1","1","3","1","7","5","6","3","1","1","1","4","1","1","1","2","7","6","7","1","4","7","7","7","6","6","5","6","6","7","7","7","6","6","1","3","5","6","6","7","5","3","7","5","2","3","2","2","1","3","4","1","1","1","2","2","3","2","2","1","1","2","3","1","6","4","4","2","2","1","2","4","1","2","10","9","12","13","25","69","34","39","38","31","17","159","9","11","10","15","22","67"
"A00038959","Older Adult- Age 65-85","V2","5","7","1","6","1","2","2","1","1","1","2","5","7","1","4","2","1","6","7","1","7","2","6","6","7","5","6","5","1","1","1","2","7","4","6","5","2","7","7","6","5","2","5","7","7","6","7","4","5","7","2","2","6","3","1","6","2","4","7","4","1","1","2","6","1","4","5","6","1","4","5","6","3","6","1","1","1","6","4","1","7","4","1","4","4","1","6","7","1","1","20","8","18","36","27","109","35","31","39","21","13","139","12","32","6","21","30","101"
"A00057965","ENROLLED","V2","6","6","1","5","2","2","2","1","2","1","5","5","6","1","1","1","2","4","6","1","5","5","2","5","6","3","3","4","1","1","5","5","7","4","7","6","7","7","5","7","7","7","5","7","6","7","4","6","5","7","4","4","5","3","4","5","4","4","5","1","3","4","1","4","2","3","3","1","5","1","6","5","5","2","4","1","2","5","4","1","7","4","2","4","6","4","4","4","2","1","17","8","11","34","25","95","31","38","34","29","28","160","13","18","15","29","25","100"
"A00037122","Adult- Age 22-59","V2","7","7","3","7","2","5","5","2","1","1","5","1","7","2","2","1","5","5","7","1","7","2","1","7","7","5","6","4","1","1","1","1","4","2","3","2","1","4","7","6","5","6","2","4","2","6","2","4","2","7","2","2","5","2","2","2","1","1","7","1","4","6","4","6","1","4","4","4","1","1","4","2","4","4","4","1","1","4","4","1","7","4","1","4","4","1","4","4","1","4","20","10","16","40","31","117","29","24","21","14","8","96","12","24","9","26","27","98"
"A00060581","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00039756","Older Adult- Age 65-85","V2","5","1","1","1","1","1","5","1","1","1","1","1","1","1","1","2","1","1","1","1","1","4","1","1","1","1","1","3","1","1","1","2","7","4","7","5","3","6","7","7","6","5","5","6","7","5","7","5","4","7","4","5","5","6","3","6","5","4","7","1","1","4","5","5","1","2","4","6","1","1","3","3","3","5","1","1","1","6","4","1","4","1","1","4","4","1","1","4","1","1","6","7","6","6","19","44","32","33","39","26","22","152","7","30","6","22","15","80"
"A00065974","ONE_DAY- Age 22-59","VA","6","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","1","1","1","1","3","1","1","3","7","7","7","6","6","6","7","7","7","6","7","7","7","7","7","7","7","7","7","7","7","6","6","6","7","6","6","7","6","1","1","1","4","1","4","1","4","1","1","1","7","1","5","4","3","1","7","1","1","1","1","1","1","1","1","1","4","1","3","6","7","8","6","15","42","40","42","40","39","35","196","13","28","9","6","9","65"
