"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"A00053474","Adult-Age 18-21","V1","2","2","1","4","3","3","4","3","3","3","1","2","3","3","3","3","3","4","0","4","2","3","3","2","3","1","3","4","1","1","3","3","3","1","4","3","3","4","2","3","1","3","3","3","3","3","2","2","4","3","0","4","3","1","3","2","3","2","3","4","24","35","35","27","37","1","20","57","63","62","45","58"
"A00050998","Adult- Age 22-59","V1","3","2","3","2","2","3","3","4","1","2","3","3","3","2","1","3","3","4","1","3","1","3","3","3","2","3","2","3","1","1","3","2","4","2","3","3","2","3","2","4","2","3","4","4","3","2","1","4","3","3","1","3","4","2","2","3","2","4","3","2","30","29","43","26","28","2","47","60","50","72","36","43"
"A00056371","Older Adult- Age 65-85","V1","1","2","1","3","3","0","2","3","4","3","0","1","4","4","3","0","3","3","4","3","0","2","1","3","3","0","4","3","2","3","1","2","2","3","2","1","2","1","4","3","1","3","3","3","2","1","0","4","4","3","0","3","4","3","4","0","1","2","4","0","5","25","31","41","32","1","84","30","46","56","69","50"
"A00028842","Adult- Age 22-59","V1","2","3","2","4","3","3","3","3","4","3","2","1","3","3","3","1","4","3","2","3","1","3","3","4","3","0","4","2","3","3","1","1","3","3","4","2","4","2","4","4","1","4","1","2","1","1","1","3","3","3","1","3","3","2","3","2","4","2","3","3","17","35","30","37","36","1","42","47","63","54","62","56"
"A00066589","ONE_DAY-AGE 13","VA","3","2","4","3","4","4","3","2","3","2","4","2","2","3","2","3","3","3","1","3","3","2","1","3","3","4","2","3","2","2","3","1","4","3","3","2","3","3","4","2","3","3","1","4","1","3","4","2","2","2","2","4","2","2","3","4","3","1","2","3","38","32","28","32","30","2","13","70","55","48","47","46"
"A00040312","Older Adult- Age 65-85","V1","1","2","3","4","2","3","2","3","3","3","3","1","3","3","1","4","3","3","2","3","3","3","1","2","2","1","3","3","1","2","2","3","3","2","4","3","2","3","3","3","1","3","1","3","3","4","2","2","4","3","1","3","2","3","3","1","1","3","3","3","27","28","30","33","32","1","66","61","51","54","55","50"
"A00058571","ENROLLED","V1","4","0","0","2","3","3","2","2","4","4","0","0","4","4","4","2","2","2","2","4","0","0","2","1","3","0","4","4","1","4","0","4","0","0","4","4","3","3","2","2","0","4","0","0","4","0","4","4","4","4","0","4","4","0","4","0","0","2","0","2","13","27","27","20","42","1","39","41","50","50","32","66"
"A00061276","ONE_DAY- Age 22-59","VA","3","3","0","3","2","3","3","3","0","3","3","3","3","0","2","2","3","3","0","3","1","3","3","3","2","1","4","3","3","3","3","1","3","2","2","1","3","4","4","3","2","3","3","3","3","1","3","3","3","2","1","3","3","2","2","2","3","2","2","2","23","35","33","25","29","2","37","51","60","56","35","44"
"A00040462","Adult- Age 22-59","V1","3","1","3","3","2","3","3","4","4","1","3","1","3","3","2","1","3","4","3","3","3","2","1","2","1","1","3","3","2","1","3","1","1","2","1","3","1","3","3","3","3","2","2","3","1","3","3","4","3","3","2","2","4","3","1","3","1","3","4","2","31","23","35","35","21","2","47","61","40","59","52","32"
"A00038213","Adult-Age 18-21","V1","3","2","3","3","3","2","3","4","2","3","2","3","4","3","3","1","3","4","2","3","2","3","3","4","2","3","3","3","1","2","3","2","3","3","3","1","2","3","3","3","2","3","3","3","3","2","3","4","3","3","0","3","3","3","3","2","2","3","2","2","23","32","40","32","33","2","21","51","55","67","47","50"
"A00023510","Adult- Age 22-59","V1","2","3","3","4","2","2","3","4","2","3","2","1","4","2","3","1","3","3","2","3","2","3","3","2","3","1","1","2","3","2","3","2","3","3","3","1","3","3","2","3","1","3","3","3","2","3","2","3","3","3","1","3","3","2","3","2","1","3","3","3","21","28","37","31","33","1","23","53","51","65","52","51"
"A00061709","ONE_DAY","VA","2","2","0","4","2","3","4","2","4","2","1","2","4","4","0","2","4","4","0","3","0","2","4","4","2","0","4","4","0","1","4","0","2","3","3","3","4","4","4","4","2","4","3","2","3","3","1","3","4","2","1","4","3","0","2","2","3","1","4","3","23","34","34","33","27","1","23","55","61","61","55","41"
"A00062254","ONE_DAY-Age 65-85","VA","1","2","1","3","3","1","3","3","3","3","1","1","3","2","1","1","3","4","1","3","1","3","3","1","3","1","1","3","2","3","1","3","2","3","4","1","3","2","3","3","1","2","3","2","1","1","2","4","3","3","3","3","3","2","3","0","1","3","2","3","13","27","34","27","33","1","73","41","50","61","45","51"
"A00060662","Adult- Age 22-59","V1","0","2","2","3","3","2","3","3","2","3","2","3","3","2","2","1","3","2","3","3","1","2","3","2","3","1","3","3","3","2","0","2","2","3","3","1","3","2","2","3","1","3","3","3","3","1","2","4","4","3","1","3","4","2","2","2","2","3","2","3","13","31","34","31","33","1","26","41","56","61","52","51"
"A00034074","Adolescent- Age  16-17","V1","2","0","1","4","2","3","4","4","1","4","3","0","4","0","0","4","1","4","4","4","4","0","3","1","4","4","0","4","3","2","3","0","4","1","3","3","1","1","0","3","2","1","4","0","0","3","2","4","2","3","2","2","4","4","3","2","0","4","0","2","35","11","41","20","30","2","17","66","25","69","26","46"
"A00028389","Older Adult- Age 60-64","V1","1","2","1","3","3","1","3","3","3","3","1","1","3","3","3","1","3","3","3","3","1","2","1","3","3","1","3","1","3","3","1","2","1","2","3","1","3","3","3","3","1","3","3","1","3","1","3","3","3","3","1","3","3","3","3","1","3","2","3","3","12","31","27","33","36","1","61","40","56","50","55","56"
"A00061883","ONE_DAY-AGE 14","VA","2","3","3","4","2","2","2","3","4","1","3","2","2","4","2","1","3","3","2","3","3","3","1","3","1","0","3","3","1","1","3","1","3","2","3","1","1","3","3","3","1","3","1","3","3","1","3","3","3","2","1","2","3","4","3","1","3","3","4","3","19","29","31","37","27","1","14","50","53","56","62","41"
"A00038189","Adult- Age 22-59","V1","2","1","3","4","4","3","4","4","3","3","3","1","4","4","1","1","3","4","3","4","0","2","2","3","3","1","1","4","3","3","2","2","4","4","4","2","4","4","4","3","2","3","4","4","1","1","3","4","4","3","1","2","4","3","3","2","1","4","4","4","20","27","45","43","36","2","29","47","47","75","66","55"
"A00050940","ENROLLED","V1","4","0","2","4","4","1","0","4","4","4","0","1","4","0","2","2","4","0","0","4","0","2","4","4","4","0","0","4","0","4","4","4","4","1","4","3","4","4","0","4","4","3","4","4","0","3","0","0","4","4","0","4","4","0","4","0","4","2","2","3","21","26","36","23","41","1","31","53","48","64","38","65"
"A00028266","Older Adult- Age 65-85","V1","0","3","1","4","4","2","3","4","4","4","0","1","4","4","4","2","4","4","4","4","0","1","3","2","3","0","1","3","3","4","0","1","4","4","3","0","3","2","4","4","2","3","3","4","4","2","1","4","4","4","0","3","4","3","4","0","3","2","4","2","8","27","38","44","44","2","65","32","47","64","68","67"
"A00060372","ENROLLED","V1","3","1","2","4","2","3","3","3","4","3","3","3","3","4","3","3","2","4","1","4","3","2","3","3","1","1","1","3","1","3","3","1","4","3","3","2","2","4","4","4","2","3","4","4","3","3","1","4","4","3","2","1","3","3","3","1","1","3","4","3","29","21","40","39","35","2","30","59","37","67","59","53"
"A00029230","Adult- Age 22-59","V1","1","4","0","4","2","0","4","4","4","1","0","3","3","4","3","0","4","4","4","3","0","1","4","4","2","0","4","4","3","4","0","2","4","4","3","0","4","3","4","3","1","4","1","3","0","0","4","3","4","2","0","4","4","3","2","0","3","1","4","1","2","41","35","45","26","2","51","25","69","59","70","40"
"A00028994","Adult- Age 22-59","V1","3","2","3","4","3","3","4","4","3","3","1","3","3","3","3","1","3","3","1","4","1","3","4","1","3","1","3","3","1","2","1","1","3","3","4","1","3","2","3","4","1","3","3","3","3","1","4","3","4","3","0","3","3","3","3","0","2","3","1","3","14","34","37","30","38","2","54","40","58","62","44","58"
"A00038623","Adult- Age 22-59","V1","1","2","1","4","3","1","3","4","4","3","1","2","2","4","3","1","3","3","4","3","0","2","2","4","3","0","3","1","1","4","0","0","3","3","4","3","4","1","4","4","0","3","1","2","3","4","2","2","4","4","0","3","3","3","4","1","3","2","4","3","12","30","25","41","41","2","42","37","52","43","63","63"
"A00060006","ENROLLED","V1","1","3","2","4","1","1","4","4","1","3","1","4","3","4","2","2","4","4","2","4","1","3","2","3","2","1","3","4","0","1","1","2","4","3","4","2","3","2","4","3","2","4","2","3","1","1","2","3","4","4","0","2","4","3","1","1","4","3","2","4","14","38","37","33","30","2","31","40","65","62","49","46"
"A00055646","Adult- Age 22-59","V1","1","1","2","4","2","2","3","4","4","4","1","3","4","4","4","0","3","4","3","4","0","0","2","4","3","0","1","3","3","4","1","0","2","3","3","0","3","0","3","4","1","2","1","3","4","4","0","2","4","4","2","0","2","3","2","0","1","1","4","3","12","17","27","42","41","2","29","37","31","46","65","63"
"A00050795","Adult- Age 22-59","V1","1","2","3","3","4","2","3","3","2","3","1","2","2","2","3","1","3","3","1","3","1","2","3","2","3","0","3","3","2","3","1","1","2","1","4","1","2","4","2","3","1","3","2","3","1","1","2","3","2","3","1","3","3","2","3","0","1","3","3","3","11","27","34","25","36","1","22","39","50","61","41","56"
"A00028287","Adult-Age 18-21","V1","0","4","4","4","4","0","4","4","4","4","1","2","3","4","4","4","4","4","3","4","4","4","4","2","1","0","3","4","4","3","0","3","1","1","4","4","3","4","4","4","1","4","1","4","4","1","3","3","3","3","1","3","2","4","3","1","2","1","3","3","17","39","35","40","41","2","21","43","66","59","61","63"
"A00044345","Adult- Age 22-59","V1","1","2","1","0","4","1","2","2","3","3","1","3","2","4","4","0","4","3","3","3","0","2","1","4","3","1","3","1","2","3","1","2","2","3","3","2","4","1","3","4","1","3","2","2","3","0","2","3","4","4","0","3","2","3","4","0","1","1","3","3","8","31","21","34","41","2","47","32","53","37","51","63"
"A00052182","Child Age 12","V1","1","2","4","4","4","4","3","4","4","3","0","2","3","4","3","4","2","4","1","4","2","3","0","0","4","0","2","4","0","4","2","3","0","0","4","0","2","4","4","0","0","2","2","4","4","4","2","4","4","2","4","3","4","4","4","0","0","0","4","4","21","26","33","33","40","1","12","53","48","59","55","63"
"A00060923","Older Adult- Age 60-64","V1","3","2","1","4","2","3","1","4","4","3","3","1","3","3","2","2","2","3","3","4","0","3","2","2","3","2","1","1","2","2","2","2","2","3","4","2","2","3","3","4","2","2","1","1","2","2","1","3","4","4","2","2","4","4","3","2","1","3","2","4","25","20","30","35","37","2","64","54","35","51","52","56"
"A00055542","Adult- Age 22-59","V1","2","2","4","4","3","4","3","4","3","3","3","1","4","3","4","2","3","4","3","4","1","2","4","3","4","3","1","4","4","3","3","1","4","3","4","1","2","4","4","3","0","1","4","3","4","3","4","4","4","3","0","3","4","3","4","0","4","4","3","4","22","27","48","40","43","2","29","50","47","75","61","66"
"A00076589","Adult- Age 22-59","V1","4","2","2","4","3","1","2","3","4","3","1","3","2","4","3","1","4","3","3","2","0","1","2","4","2","0","4","4","0","4","1","2","2","2","3","2","3","2","4","2","1","2","1","3","3","2","1","2","3","3","1","3","2","3","4","0","4","2","4","3","14","31","27","38","35","2","36","40","53","46","58","53"
"A00066087","ONE_DAY","VA","3","2","4","4","3","2","4","4","2","3","2","1","4","1","3","2","4","3","1","4","3","3","2","4","3","1","3","0","1","0","3","4","0","4","4","4","4","4","3","4","2","1","2","3","2","3","4","2","4","4","2","4","4","3","3","2","3","4","4","4","29","37","33","34","37","1","22","64","66","59","57","58"
"A00040500","Adult- Age 22-59","V1","1","2","2","3","3","3","3","3","3","3","1","3","3","3","3","1","4","3","2","3","1","2","3","4","3","1","3","3","1","3","1","2","3","3","3","3","3","3","3","3","1","4","2","3","1","1","2","3","3","3","1","3","3","3","3","1","3","2","3","1","16","34","33","34","32","2","51","42","58","56","51","49"
"A00037115","Adult- Age 22-59","V1","4","1","0","3","4","3","4","4","3","4","3","3","2","4","3","2","3","3","1","4","1","3","2","3","4","0","3","0","1","4","1","1","3","4","4","4","3","3","3","4","0","4","0","0","4","3","3","2","4","4","0","4","3","1","4","0","4","1","3","4","21","36","23","30","47","2","48","48","61","40","44","72"
"A00031549","Adult- Age 22-59","V1","4","4","2","4","3","3","4","3","4","2","2","2","4","4","4","2","4","2","3","4","3","4","3","4","1","2","4","2","2","0","1","1","3","4","2","3","3","4","4","4","2","4","4","4","4","4","2","4","4","4","0","0","3","2","3","3","1","2","4","4","29","33","36","43","35","2","23","59","56","61","66","53"
"A00034400","Adult- Age 22-59","V1","2","0","1","3","4","2","3","4","4","3","0","3","3","4","2","2","4","2","4","3","0","2","2","4","2","0","2","3","3","3","2","0","2","2","3","0","2","2","4","3","1","4","2","4","4","1","2","2","4","2","0","3","3","3","3","1","2","2","4","2","11","27","28","43","34","2","59","36","47","48","66","52"
"A00062210","ONE_DAY","VA","0","3","2","4","4","3","4","1","4","4","2","3","3","3","3","1","4","3","1","4","0","2","2","4","4","0","4","2","3","4","1","2","4","4","4","0","4","4","4","4","0","4","2","3","4","1","3","1","0","4","0","4","1","3","3","1","3","1","4","4","9","40","26","37","46","2","43","33","68","45","56","70"
"A00057235","ENROLLED","V1","1","2","1","4","4","2","4","4","2","3","2","0","4","3","2","3","2","3","3","2","1","2","3","3","2","1","3","2","3","1","3","0","3","3","3","1","2","3","3","2","2","3","4","3","1","3","3","3","3","2","1","3","3","4","3","4","2","2","1","4","24","26","35","35","29","2","21","52","45","59","52","44"
"A00028871","Adult- Age 22-59","V1","1","2","1","4","2","3","3","3","3","3","2","1","2","4","3","2","4","3","2","4","1","2","1","3","3","1","2","3","3","4","2","3","3","4","3","3","4","3","4","3","1","4","2","3","3","2","3","3","4","3","1","3","3","3","2","3","3","3","3","3","22","34","30","40","36","2","40","50","58","51","61","55"
"A00059344","ENROLLED","V1","1","3","3","4","2","3","4","4","1","3","0","1","4","3","3","2","4","4","0","4","1","3","2","1","3","1","4","3","2","3","2","1","3","3","3","2","3","4","4","4","1","3","1","0","1","3","2","4","3","3","1","2","3","2","3","1","3","3","1","3","18","33","38","24","35","1","43","48","60","67","39","55"
"A00028429","Adult-Age 18-21","V1","3","3","4","3","2","3","4","3","3","3","2","1","1","2","1","1","3","4","1","1","0","3","1","3","3","3","3","3","1","3","1","2","3","3","4","1","3","3","4","3","1","3","0","2","3","1","1","1","3","4","1","3","3","3","3","0","2","3","3","3","17","31","29","31","33","2","20","43","53","50","45","50"
"A00029126","Adult- Age 22-59","V1","2","3","1","3","2","3","3","4","2","2","3","1","3","2","2","3","4","4","1","3","2","2","3","3","1","3","3","3","0","1","4","2","3","3","2","1","2","3","3","3","1","3","2","3","3","3","3","3","4","3","1","2","4","2","1","3","3","4","3","2","29","31","37","29","25","1","34","64","56","65","48","38"
"A00061711","ONE_DAY- Age 22-59","VA","3","2","1","4","3","2","3","4","4","4","2","1","4","4","3","2","4","3","2","4","1","2","3","4","1","0","4","3","2","1","2","2","3","4","3","1","3","3","4","4","1","4","2","3","4","2","2","3","4","4","0","3","3","2","4","0","3","2","4","3","16","33","34","41","38","1","42","46","60","61","69","60"
"A00043998","ENROLLED","V1","4","1","3","4","3","3","2","4","4","2","4","1","3","3","3","3","2","2","2","2","1","2","3","3","1","4","3","4","1","3","4","1","4","2","3","2","1","4","4","3","3","2","2","3","1","3","1","2","4","3","1","2","4","4","3","2","1","2","4","4","34","19","37","38","31","1","28","71","37","65","64","48"
"A00027439","Child - Age 15","V1","0","3","2","3","3","3","4","4","3","3","1","2","4","2","1","1","4","2","0","4","2","4","3","3","4","1","2","1","2","3","0","3","1","4","4","3","4","1","3","4","0","4","3","3","4","3","3","3","4","4","0","4","4","3","3","2","4","4","0","4","16","41","32","30","41","1","15","46","73","57","50","65"
"A00037588","Adult- Age 22-59","V1","3","2","2","4","3","3","4","4","2","3","1","1","3","4","3","1","3","3","1","4","2","3","3","2","1","2","2","2","2","3","1","3","3","3","2","3","4","2","4","4","0","4","2","3","4","0","2","4","4","4","0","4","4","1","2","1","2","3","3","3","17","34","35","33","36","1","57","47","61","62","55","56"
"A00035869","Child-Age 12","V1","4","0","0","0","0","0","0","0","4","0","0","4","0","4","4","4","0","4","4","0","0","0","4","4","0","0","4","4","0","4","4","0","4","0","0","0","0","0","4","0","0","4","0","4","4","4","0","4","0","0","0","4","0","4","4","0","4","0","4","0","16","20","20","32","16","2","12","42","35","35","47","25"
"A00055446","ENROLLED","V1","2","3","3","3","2","2","3","3","4","2","2","4","2","2","2","3","2","2","1","2","1","1","3","2","2","0","4","3","2","2","2","2","2","2","2","2","4","4","0","4","4","1","4","0","0","3","2","1","3","2","2","3","3","1","4","3","1","3","4","3","26","30","33","24","27","2","29","55","52","56","33","41"
"A00053627","Adult- Age 22-59","V1","2","2","2","4","3","2","3","4","4","2","2","4","2","4","3","2","4","3","2","3","0","2","3","3","3","0","4","1","3","3","2","1","3","3","3","2","4","2","4","4","0","4","3","3","4","2","2","3","4","3","0","3","3","3","2","0","3","2","4","3","14","36","31","41","36","2","53","40","61","53","63","55"
"A00059845","Adult- Age 22-59","V1","4","3","2","4","4","3","3","4","1","3","2","2","3","4","2","3","3","4","3","4","3","3","1","2","1","0","2","3","1","1","4","2","3","4","4","1","3","2","3","4","0","2","3","2","4","3","3","4","4","4","0","4","4","4","4","0","2","2","4","3","23","32","35","36","38","1","44","55","58","62","61","60"
"A00061204","ONE_DAY","VA","4","1","1","4","4","2","3","3","1","1","0","1","0","2","1","0","2","3","1","3","0","2","0","0","3","0","1","3","4","2","1","1","1","3","3","2","3","1","4","4","2","3","0","2","2","0","2","0","4","3","1","2","3","1","3","0","3","1","3","4","12","24","16","29","33","1","40","40","45","32","48","51"
"A00055867","Child Age 15","V1","1","3","2","4","2","1","3","4","3","1","3","2","4","4","3","0","4","3","2","3","1","3","2","2","1","1","3","3","3","0","1","2","3","3","3","2","2","4","4","2","1","3","2","3","1","1","4","3","4","2","1","4","4","3","1","1","3","4","4","4","14","36","38","39","23","1","15","43","64","67","66","35"
"A00035633","Adult- Age 22-59","V1","2","1","3","3","2","4","3","3","1","1","2","3","3","1","1","3","3","1","2","2","2","3","1","2","1","3","1","3","1","1","2","2","3","1","2","3","2","3","1","2","3","3","1","3","1","2","3","4","3","2","3","3","3","2","2","3","2","3","1","2","32","29","31","21","19","1","49","68","53","56","34","28"
"A00044154","Adult- Age 22-59","V1","1","2","2","4","3","1","3","3","3","3","3","3","3","4","3","1","4","4","3","3","1","1","1","3","3","1","1","3","3","2","3","3","3","4","4","1","4","3","4","3","1","3","2","3","3","1","3","1","4","4","1","3","1","3","3","0","3","1","3","3","15","33","27","41","37","2","53","41","56","46","63","56"
"A00038642","Adult- Age 22-59","V1","1","3","3","3","3","3","3","4","3","1","3","3","3","3","1","3","4","4","1","3","1","4","1","3","3","2","3","3","1","0","3","3","3","3","3","3","1","4","3","3","1","3","1","1","1","3","1","3","4","2","1","3","4","1","3","2","3","1","3","1","26","34","34","29","24","1","28","60","61","61","48","36"
